WYC,IMPACT program,IMPACT program,Dept ,Hospital Department
Nursing Clinical Support,Infection Prevention & Control,Infection Prevention and Control,Dept ,Hospital Department
IHSS,Infrastructure Safety & Risk,Infrastructure Safety and Risk,Dept ,Hospital Department
FBI,Internal Audit Services,Internal Audit Services,Dept ,Hospital Department
Allied Health,IPL Coordinator,IPL Coordinator,Dept ,Hospital Department
Medical Services,JMO/MOSCETU,JMO/MOSCETU,Dept ,Hospital Department
MHJHADS,Justice Health Services,Justice Health Services,Dept ,Hospital Department
Pathology,Laboratory Haematology,Laboratory Haematology,Dept ,Hospital Department
"Strategy, Policy and Planning",Legislative Compliance,Legislative Compliance,Dept ,Hospital Department
Medical Services,Library,Library,Dept ,Hospital Department
IHSS,Logistical Support Services,Logistical Support Services,Dept ,Hospital Department
Operational Support Services,Mailroom Services,Mailroom Services,Dept ,Hospital Department
Pathology,Management,Management,Dept ,Hospital Department
WYC,Maternal & Child Health,Maternal and Child Health,Dept ,Hospital Department
WYC,Maternity & Gynaecology,Maternity and Gynaecology,Dept ,Hospital Department
Medical Services,Medical Imaging,Medical Imaging,Dept ,Hospital Department
CAS,Medical Oncology,Medical Oncology,Dept ,Hospital Department
CAS,Medical Physics & Radiation Engineering,Medical Physics and Radiation Engineering,Dept ,Hospital Department
COO,Medical Services,Medical Services,Dept ,Hospital Department
COO,Medicine,Medicine,Dept ,Hospital Department
Medicine,Medicine Operations,Medicine Operations,Dept ,Hospital Department
COO,MHJHADS,"Mental Health, Justice Health and Alcohol and Drug Services",Dept ,Hospital Department
Pathology,Molecular Pathology,Molecular pathology,Dept ,Hospital Department
WYC,Neonatal Hearing Screening & Nurse Audiometry,Neonatal hearing screening and Nurse Audiometry,Dept ,Hospital Department
Medicine,Neurology,Neurology,Dept ,Hospital Department
Surgery,Neurosurgery,Neurosurgery,Dept ,Hospital Department
WYC,NICU/SCN,NICU/SCN,Dept ,Hospital Department
CEO,NMPSS,Nursing and Midwifery and Patient Support Services,Dept ,Hospital Department
NMPSS,Nursing Administration ,Nursing Administration ,Dept ,Hospital Department
NMPSS,Nursing Clinical Support,Nursing Clinical Support,Dept ,Hospital Department
Nursing Clinical Support,Nursing Support Services,Nursing Support Services,Dept ,Hospital Department
CEO,Office of Research & Education,Office of Research and Education,Dept ,Hospital Department
CEO,Office of the CEO,Office of the Chief Executive Officer,Dept ,Hospital Department
IHSS,Operational Support Services,Operational Support Services,Dept ,Hospital Department
Surgery,Opthalmology Surgery/Eye Clinic,Opthalmology Surgery/Eye Clinic,Dept ,Hospital Department
Surgery,Oral Maxillo-Facial Surgery,Oral Maxillo-Facial Surgery,Dept ,Hospital Department
Surgery,Orthopaedic Surgery,Orthopaedic Surgery,Dept ,Hospital Department
WYC,Paediatric General Surgery,Paediatric General Surgery,Dept ,Hospital Department
Surgery,Pain Management Unit/Clinic,Pain Management Unit/Clinic,Dept ,Hospital Department
CAS,Palliative Care,Pallative Care,Dept ,Hospital Department
Operational Support Services,Parking,Parking,Dept ,Hospital Department
Medical Services,Pathology,Pathology,Dept ,Hospital Department
COO,Patient Flow,Patient Flow,Dept ,Hospital Department
NMPSS,Patient Support Services,Patient Support Services,Dept ,Hospital Department
CEO,People & Culture,People and Culture,Dept ,Hospital Department
Surgery,Peri-operative Unit ,Peri-operative Unit ,Dept ,Hospital Department
Medical Services,Pharmacy,Pharmacy,Dept ,Hospital Department
Surgery,Plastic & Reconstructive Surgery,Plastic and Reconstructive Surgery,Dept ,Hospital Department
FBI,Procurement & Supply Services,Procurement and Supply Services,Dept ,Hospital Department
IHSS,Project Delivery Tier 2 & 3,Project Delivery Tier 2 and 3,Dept ,Hospital Department
COO,QSII,"Quality, Safety, Innovation and Improvement",Dept ,Hospital Department
COO,RACS,"Rehabilitation, Aged and Community Services",Dept ,Hospital Department
CAS,Radiation Oncology,Radiation Oncology,Dept ,Hospital Department
MHJHADS,Rehabilitation & Speciality Mental Health Services,Rehabilitation and Speciality Mental Health Services,Dept ,Hospital Department
RACS,Rehabilitation Medicine,Rehabilitation Medicine,Dept ,Hospital Department
Medicine,Renal,Renal,Dept ,Hospital Department
Operational Support Services,Residential Accomodation,Residential Accomodation,Dept ,Hospital Department
Medicine,Respiratory & Sleep Medicine,Respiratory and Sleep Medicine,Dept ,Hospital Department
FBI,Revenue & Patient Accounts,Revenue and Patient Accounts,Dept ,Hospital Department
Medicine,Rheumatology,Rheumatology,Dept ,Hospital Department
"Strategy, Policy and Planning","Risk, Audit & Compliance","Risk, Audit and Compliance",Dept ,Hospital Department
WYC,School based Services,School based Services,Dept ,Hospital Department
Operational Support Services,Security,Security,Dept ,Hospital Department
NMPSS,Spiritual Support Services,Spiritual Support Services,Dept ,Hospital Department
Logistical Support Services,Sterilising Service,Sterilising Service,Dept ,Hospital Department
"Strategy, Policy and Planning",Strategic Policy,Strategic Policy,Dept ,Hospital Department
Ambulatory Care Support,Strategic Support,Strategic Support,Dept ,Hospital Department
CEO,"Strategy, Policy & Planning","Strategy, Policy and Planning",Dept ,Hospital Department
Logistical Support Services,Supply,Supply,Dept ,Hospital Department
COO,Surgery,Surgery,Dept ,Hospital Department
Surgery,Surgery Assessment and Planning,Surgery Assessment and Planning,Dept ,Hospital Department
Surgery,Surgical Bookings/Pre-admission Clinic,Surgical Bookings/Pre-admission Clinic,Dept ,Hospital Department
Surgery,Surgical Wards,Surgical Wards,Dept ,Hospital Department
Operational Support Services,TCH Switchboard & Patient Equiries,TCH Switchboard and Patient Equiries,Dept ,Hospital Department
Surgery,Thoracic Surgery,Thoracic Surgery,Dept ,Hospital Department
Nursing Clinical Support,Tissue Viability,Tissue Viability,Dept ,Hospital Department
Ambulatory Care Support,Transcription,Transcription,Dept ,Hospital Department
Patient Flow,Transit Lounge,Transit Lounge,Dept ,Hospital Department
Surgery,Trauma & Orthopaedic Research Unit,Trauma and Orthopaedic Research Unit,Dept ,Hospital Department
"Strategy, Policy and Planning",TWSS,Territory Wide Surgical Services,Dept ,Hospital Department
RACS,UCH After Hours Hospital Management,UCH After Hours Hospital Management,Dept ,Hospital Department
IHSS,UCH BGIS Contract Management,UCH BGIS Contract Management,Dept ,Hospital Department
Surgery,Urology Surgery,Urology Surgery,Dept ,Hospital Department
Surgery,Vascular Surgery,Vascular Surgery,Dept ,Hospital Department
Operational Support Services,Vehicle Fleet Management,Vehicle Fleet Management,Dept ,Hospital Department
Operational Support Services,Volunteer Management,Volunteer Management,Dept ,Hospital Department
CAS,Walk-in Centres,Walk-in Centres,Dept ,Hospital Department
Nursing Clinical Support,Ward Services,Ward Services,Dept ,Hospital Department
WYC,Women Health Service,Women Health Service,Dept ,Hospital Department
People and Culture,Work Health & Safety,Work Health and Safety,Dept ,Hospital Department
People and Culture,Workforce Capability,Workforce Capability,Dept ,Hospital Department
People and Culture,Workforce Planning & Inclusion,Workforce Planning and Inclusion,Dept ,Hospital Department
People and Culture,Workforce Relations,Workforce Relations,Dept ,Hospital Department
COO,Workforce Culture & Leadership,Workforce Culture and Leadership,Dept ,Hospital Department
Office of the CEO,Workplace Resolution & Support Services,Workplace Resolution and Support Services,Dept ,Hospital Department
COO,WYC,"Women, Youth and Children",Dept ,Hospital Department
