IHSS,Accomodation & Leasing,Accomodation and Leasing,Dept ,Hospital Departmentt,medical@test.com.au,0264321234,0264321122
"Strategy, Policy and Planning",Government Relations,Government Relations,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
Medical Services,GP Liaison Unit,GP Liasion Unit,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
CAS,Haematology,Haematology,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
Medical Services,Healthcare Technology Management,Healthcare Technology Management,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
FBI,HIS,Health Information Services,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
Medicine,HITH,Hospital in the Home,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
People and Culture,HR Business Partners,HR Business Partners,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
Surgery,"ICU, MET & Outreach","Intensive Care Unit, Medical Emergency Team (MET) and Outreach",Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
Medicine,ID,Infectious Disease,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
CEO,IHSS,Infrastructure and Health Support Services,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
WYC,Immunisation 0-18,Immunisation 0-18,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
CAS,Immunology,Immunology,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
Pathology,Immunopathology,Immunopathology,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
WYC,IMPACT program,IMPACT program,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
Nursing Clinical Support,Infection Prevention & Control,Infection Prevention and Control,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
IHSS,Infrastructure Safety & Risk,Infrastructure Safety and Risk,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
FBI,Internal Audit Services,Internal Audit Services,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
Allied Health,IPL Coordinator,IPL Coordinator,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
Medical Services,JMO/MOSCETU,JMO/MOSCETU,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
MHJHADS,Justice Health Services,Justice Health Services,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
Pathology,Laboratory Haematology,Laboratory Haematology,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
"Strategy, Policy and Planning",Legislative Compliance,Legislative Compliance,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
Medical Services,Library,Library,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
IHSS,Logistical Support Services,Logistical Support Services,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
Operational Support Services,Mailroom Services,Mailroom Services,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
Pathology,Management,Management,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
WYC,Maternal & Child Health,Maternal and Child Health,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
WYC,Maternity & Gynaecology,Maternity and Gynaecology,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
Medical Services,Medical Imaging,Medical Imaging,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
CAS,Medical Oncology,Medical Oncology,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
CAS,Medical Physics & Radiation Engineering,Medical Physics and Radiation Engineering,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
,Medical Services,Medical Services,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
COO,Medicine,Medicine,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
Medicine,Medicine Operations,Medicine Operations,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
COO,MHJHADS,"Mental Health, Justice Health and Alcohol and Drug Services",Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
Pathology,Molecular Pathology,Molecular pathology,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
WYC,Neonatal Hearing Screening & Nurse Audiometry,Neonatal hearing screening and Nurse Audiometry,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
Medicine,Neurology,Neurology,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
Surgery,Neurosurgery,Neurosurgery,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
WYC,NICU/SCN,NICU/SCN,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
CEO,NMPSS,Nursing and Midwifery and Patient Support Services,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
NMPSS,Nursing Administration ,Nursing Administration ,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
NMPSS,Nursing Clinical Support,Nursing Clinical Support,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
Nursing Clinical Support,Nursing Support Services,Nursing Support Services,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
CEO,Office of Research & Education,Office of Research and Education,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
CEO,Office of the CEO,Office of the Chief Executive Officer,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
IHSS,Operational Support Services,Operational Support Services,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
Surgery,Opthalmology Surgery/Eye Clinic,Opthalmology Surgery/Eye Clinic,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
Surgery,Oral Maxillo-Facial Surgery,Oral Maxillo-Facial Surgery,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
Surgery,Orthopaedic Surgery,Orthopaedic Surgery,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
WYC,Paediatric General Surgery,Paediatric General Surgery,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
Surgery,Pain Management Unit/Clinic,Pain Management Unit/Clinic,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
CAS,Palliative Care,Pallative Care,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
Operational Support Services,Parking,Parking,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
Medical Services,Pathology,Pathology,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
COO,Patient Flow,Patient Flow,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
NMPSS,Patient Support Services,Patient Support Services,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
CEO,People & Culture,People and Culture,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
Surgery,Peri-operative Unit ,Peri-operative Unit ,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
Medical Services,Pharmacy,Pharmacy,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
Surgery,Plastic & Reconstructive Surgery,Plastic and Reconstructive Surgery,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
FBI,Procurement & Supply Services,Procurement and Supply Services,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
IHSS,Project Delivery Tier 2 & 3,Project Delivery Tier 2 and 3,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
COO,QSII,"Quality, Safety, Innovation and Improvement",Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
COO,RACS,"Rehabilitation, Aged and Community Services",Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
CAS,Radiation Oncology,Radiation Oncology,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
MHJHADS,Rehabilitation & Speciality Mental Health Services,Rehabilitation and Speciality Mental Health Services,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
RACS,Rehabilitation Medicine,Rehabilitation Medicine,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
Medicine,Renal,Renal,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
Operational Support Services,Residential Accomodation,Residential Accomodation,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
Medicine,Respiratory & Sleep Medicine,Respiratory and Sleep Medicine,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
FBI,Revenue & Patient Accounts,Revenue and Patient Accounts,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
Medicine,Rheumatology,Rheumatology,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
"Strategy, Policy and Planning","Risk, Audit & Compliance","Risk, Audit and Compliance",Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
WYC,School based Services,School based Services,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
Operational Support Services,Security,Security,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
NMPSS,Spiritual Support Services,Spiritual Support Services,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
Logistical Support Services,Sterilising Service,Sterilising Service,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
"Strategy, Policy and Planning",Strategic Policy,Strategic Policy,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
Ambulatory Care Support,Strategic Support,Strategic Support,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
CEO,"Strategy, Policy & Planning","Strategy, Policy and Planning",Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
Logistical Support Services,Supply,Supply,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
COO,Surgery,Surgery,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
Surgery,Surgery Assessment and Planning,Surgery Assessment and Planning,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
Surgery,Surgical Bookings/Pre-admission Clinic,Surgical Bookings/Pre-admission Clinic,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
Surgery,Surgical Wards,Surgical Wards,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
Operational Support Services,TCH Switchboard & Patient Equiries,TCH Switchboard and Patient Equiries,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
Surgery,Thoracic Surgery,Thoracic Surgery,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
Nursing Clinical Support,Tissue Viability,Tissue Viability,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
Ambulatory Care Support,Transcription,Transcription,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
Patient Flow,Transit Lounge,Transit Lounge,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
Surgery,Trauma & Orthopaedic Research Unit,Trauma and Orthopaedic Research Unit,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
"Strategy, Policy and Planning",TWSS,Territory Wide Surgical Services,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
RACS,UCH After Hours Hospital Management,UCH After Hours Hospital Management,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
IHSS,UCH BGIS Contract Management,UCH BGIS Contract Management,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
Surgery,Urology Surgery,Urology Surgery,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
Surgery,Vascular Surgery,Vascular Surgery,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
Operational Support Services,Vehicle Fleet Management,Vehicle Fleet Management,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
Operational Support Services,Volunteer Management,Volunteer Management,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
CAS,Walk-in Centres,Walk-in Centres,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
Nursing Clinical Support,Ward Services,Ward Services,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
WYC,Women Health Service,Women Health Service,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
People and Culture,Work Health & Safety,Work Health and Safety,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
People and Culture,Workforce Capability,Workforce Capability,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
People and Culture,Workforce Planning & Inclusion,Workforce Planning and Inclusion,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
People and Culture,Workforce Relations,Workforce Relations,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
,Workforce Culture & Leadership,Workforce Culture and Leadership,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
Office of the CEO,Workplace Resolution & Support Services,Workplace Resolution and Support Services,Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
COO,WYC,"Women, Youth and Children",Dept ,Hospital Department,medical@test.com.au,0264321234,0264321122
